Algorithm,Problem,ExecutionId,IndicatorName,IndicatorValue
SMPSO,ZDT1,5,Time,7.5899739265441895
SMPSO,ZDT1,15,GD,0.0005647675575437824
SMPSO,ZDT1,15,EP,0.005352964376875713
SMPSO,ZDT1,15,HV,0.6618064593437806
SMPSO,ZDT1,22,GD,0.00055710405098807
SMPSO,ZDT1,22,EP,0.0054438327235948325
SMPSO,ZDT1,22,HV,0.6617430612400248
SMPSO,ZDT1,1,Time,7.757599830627441
SMPSO,ZDT1,3,Time,8.219318389892578
SMPSO,ZDT1,19,GD,0.0005714439312129796
SMPSO,ZDT1,19,EP,0.005524183723737364
SMPSO,ZDT1,19,HV,0.6618094644735147
SMPSO,ZDT1,2,Time,7.59316873550415
SMPSO,ZDT1,11,GD,0.0006431837560879771
SMPSO,ZDT1,11,EP,0.005573442195489886
SMPSO,ZDT1,11,HV,0.6617472140354547
SMPSO,ZDT1,12,Time,6.7358927726745605
SMPSO,ZDT1,24,GD,0.0006028180131892394
SMPSO,ZDT1,24,EP,0.0061674059793913605
SMPSO,ZDT1,24,HV,0.6618237940850995
SMPSO,ZDT1,13,Time,6.356071472167969
SMPSO,ZDT1,6,GD,0.0006143809609664634
SMPSO,ZDT1,6,EP,0.005820424742718822
SMPSO,ZDT1,6,HV,0.6617727050229009
SMPSO,ZDT1,22,Time,7.227565050125122
SMPSO,ZDT1,16,Time,9.996910333633423
SMPSO,ZDT1,4,GD,0.0006996363445544491
SMPSO,ZDT1,4,EP,0.005645383224195666
SMPSO,ZDT1,4,HV,0.6617343883893062
SMPSO,ZDT1,16,GD,0.0006122167647245876
SMPSO,ZDT1,16,EP,0.0052419454271965815
SMPSO,ZDT1,16,HV,0.6618803655103754
SMPSO,ZDT1,18,Time,7.604201555252075
SMPSO,ZDT1,13,GD,0.0008357383317706709
SMPSO,ZDT1,13,EP,0.005941518095063714
SMPSO,ZDT1,13,HV,0.6613023430897448
SMPSO,ZDT1,0,GD,0.0005690668312971287
SMPSO,ZDT1,0,EP,0.005549326520937148
SMPSO,ZDT1,0,HV,0.6618310591038348
SMPSO,ZDT1,21,Time,8.075627088546753
SMPSO,ZDT1,8,GD,0.00062714768354678
SMPSO,ZDT1,8,EP,0.005507270002843567
SMPSO,ZDT1,8,HV,0.6617741777277564
SMPSO,ZDT1,23,Time,8.314129114151001
SMPSO,ZDT1,20,GD,0.0005903881518854733
SMPSO,ZDT1,20,EP,0.005450914788215716
SMPSO,ZDT1,20,HV,0.6619010409098602
SMPSO,ZDT1,7,GD,0.0005573608848253242
SMPSO,ZDT1,7,EP,0.005869869043954312
SMPSO,ZDT1,7,HV,0.66186370080016
SMPSO,ZDT1,2,GD,0.0006099532152908749
SMPSO,ZDT1,2,EP,0.00579700506735345
SMPSO,ZDT1,2,HV,0.6617585706004171
SMPSO,ZDT1,4,Time,7.223415374755859
SMPSO,ZDT1,12,GD,0.0006227285677156152
SMPSO,ZDT1,12,EP,0.0054803064533137935
SMPSO,ZDT1,12,HV,0.661792663458392
SMPSO,ZDT1,18,GD,0.0005494079870006133
SMPSO,ZDT1,18,EP,0.00550540031176916
SMPSO,ZDT1,18,HV,0.6619159900263623
SMPSO,ZDT1,7,Time,7.398378133773804
SMPSO,ZDT1,24,Time,6.542787313461304
SMPSO,ZDT1,21,GD,0.0006028555558663599
SMPSO,ZDT1,21,EP,0.005240468828768052
SMPSO,ZDT1,21,HV,0.6618828389057811
SMPSO,ZDT1,11,Time,7.517395973205566
SMPSO,ZDT1,10,GD,0.0005322972340385191
SMPSO,ZDT1,10,EP,0.0053751959061320576
SMPSO,ZDT1,10,HV,0.6619080247022013
SMPSO,ZDT1,10,Time,9.347581624984741
GDE3,ZDT3,5,GD,0.0010519487894206738
GDE3,ZDT3,5,EP,0.00543345736395362
GDE3,ZDT3,5,HV,1.0414808108548927
GDE3,ZDT3,6,Time,9.726149082183838
GDE3,ZDT3,17,GD,0.00116730149088071
GDE3,ZDT3,17,EP,0.009101495141066604
GDE3,ZDT3,17,HV,1.0412888277853558
GDE3,ZDT3,9,GD,0.0009625689035752287
GDE3,ZDT3,9,EP,0.007353590424262202
GDE3,ZDT3,9,HV,1.0413466866578807
GDE3,ZDT3,14,Time,9.63995909690857
GDE3,ZDT3,14,GD,0.0010862692075814283
GDE3,ZDT3,14,EP,0.006889945157115884
GDE3,ZDT3,14,HV,1.041170670445108
GDE3,ZDT3,0,Time,9.499349117279053
GDE3,ZDT3,3,GD,0.0009788430950905171
GDE3,ZDT3,3,EP,0.008062520432226605
GDE3,ZDT3,3,HV,1.041339452356176
GDE3,ZDT3,8,Time,9.647408962249756
GDE3,ZDT3,9,Time,9.651061534881592
GDE3,ZDT3,15,Time,9.631186485290527
GDE3,ZDT3,23,GD,0.0011225199649284188
GDE3,ZDT3,23,EP,0.007954053810730749
GDE3,ZDT3,23,HV,1.0412955774071362
GDE3,ZDT3,19,Time,9.530707359313965
GDE3,ZDT3,1,GD,0.0010955510634208217
GDE3,ZDT3,1,EP,0.006528809581939632
GDE3,ZDT3,1,HV,1.0413615449304037
GDE3,ZDT3,20,Time,9.62763237953186
GDE3,ZDT3,17,Time,9.52440071105957
GDE3,ZDT3,5,Time,9.963344097137451
GDE3,ZDT3,15,GD,0.0010098859175205006
GDE3,ZDT3,15,EP,0.008981215680902828
GDE3,ZDT3,15,HV,1.0412937532358568
GDE3,ZDT3,22,GD,0.0010598494239116077
GDE3,ZDT3,22,EP,0.007303069322503464
GDE3,ZDT3,22,HV,1.0413184940669868
GDE3,ZDT3,1,Time,9.462745904922485
GDE3,ZDT3,3,Time,9.687941789627075
GDE3,ZDT3,19,GD,0.001037194213437983
GDE3,ZDT3,19,EP,0.006526943457784817
GDE3,ZDT3,19,HV,1.0413362558291082
GDE3,ZDT3,2,Time,9.580741167068481
GDE3,ZDT3,11,GD,0.0011943841881456132
GDE3,ZDT3,11,EP,0.006210908733530918
GDE3,ZDT3,11,HV,1.0412013396026762
GDE3,ZDT3,12,Time,9.600032091140747
GDE3,ZDT3,24,GD,0.0009914231541166328
GDE3,ZDT3,24,EP,0.007401157378996492
GDE3,ZDT3,24,HV,1.0413671074324173
GDE3,ZDT3,13,Time,9.628057718276978
GDE3,ZDT3,6,GD,0.001207060145956863
GDE3,ZDT3,6,EP,0.007191305029609296
